Library,Rank,Overall,Github,Stack Overflow,Google Results,Market Cap Value,Volume Over 30 Days
ethos,47,-0.96657156262,-0.230839649218,-0.101554006249,-0.172053436624,-0.215848924017,-0.246275546512
augur,48,-0.96766489305,-0.150560566768,-0.200745527376,-0.181138303186,-0.195769785131,-0.239450710589
stratis,49,-0.972771603462,-0.115070599694,-0.211904573503,-0.207811032971,-0.194788966565,-0.243196430729
bitshares,50,-0.974902819027,-0.209980772113,-0.200745527376,-0.151010329957,-0.190523616588,-0.222642572993
omisego,51,-0.9798135949,-0.206736130268,-0.199341876722,-0.272231635291,-0.147166358341,-0.154337594277
salt,52,-0.989328770452,-0.233454396378,-0.215624255545,-0.0724270579046,-0.218981978086,-0.248841082538
rchain,53,-0.995063430556,-0.166636459942,-0.214384361531,-0.159827824239,-0.195803204586,-0.258411580259
pivx,54,-1.0070278925,-0.126770963198,-0.19578595132,-0.21901012522,-0.212650291677,-0.252810561088
aion,55,-1.00935695645,-0.199027906067,-0.175947647094,-0.180426658908,-0.206213623692,-0.247741120685
dragonchain,56,-1.00987560141,-0.112047800697,-0.215624255545,-0.208717192021,-0.217832549281,-0.255653803863
fusion,57,-1.01386495753,-0.22007967351,-0.215624255545,-0.110801576558,-0.21461376235,-0.25274568957
digibyte,58,-1.01435501476,-0.170593997348,-0.206944997446,-0.180012390767,-0.205488564951,-0.251315064243
hshare,59,-1.01896480023,-0.211329646131,-0.213144467517,-0.210321745867,-0.204877560481,-0.179291380237
cortex,60,-1.0268144148,-0.233454396378,-0.215624255545,-0.184801303774,-0.215644974299,-0.177289484806
skycoin,61,-1.0272307973,-0.121685797045,-0.215624255545,-0.215591010297,-0.216781968438,-0.257547765971
reddcoin,62,-1.04481330567,-0.170381062965,-0.211904573503,-0.214047368858,-0.215888671592,-0.23259162875
kin,63,-1.04492408198,-0.219610891959,-0.215624255545,-0.133484802716,-0.218257243298,-0.257946888465
substratum,64,-1.0557506951,-0.163349502889,-0.206944997446,-0.222973244917,-0.216188224224,-0.246294725624
decred,65,-1.05689566,-0.208984706413,-0.203225315404,-0.207036149936,-0.188967291139,-0.248682197104
zcoin,66,-1.0650847458,-0.136179240195,-0.211904573503,-0.241124512035,-0.219147632245,-0.256728787821
wax,67,-1.06783951369,-0.233454396378,-0.215624255545,-0.148514654088,-0.218026815166,-0.252219392518
loopring,68,-1.07108736372,-0.218275380638,-0.210664679489,-0.202241011285,-0.205899011814,-0.234007280496
chainlink,69,-1.07214677458,-0.195914827269,-0.185866799207,-0.223046807147,-0.219191818545,-0.248126522407
kyber-network,70,-1.0774789397,-0.223511556306,-0.215624255545,-0.203806567852,-0.213609507072,-0.22092705292
monacoin,71,-1.07812650996,-0.179040212965,-0.215624255545,-0.212890989418,-0.215801447801,-0.254769604228
bitcoin-diamond,72,-1.08003359702,-0.214159554791,-0.213144467517,-0.214350320029,-0.191829290937,-0.246549963751
cybermiles,73,-1.0848795999,-0.232019099214,-0.215624255545,-0.224000006299,-0.218065704187,-0.195170534658
bancor,74,-1.08598429973,-0.233454396378,-0.213144467517,-0.183228161359,-0.215431959683,-0.240725314797
basic-attention-token,75,-1.08656252129,-0.205070081792,-0.204465209418,-0.22139556579,-0.207673717103,-0.247957947187
gxchain,76,-1.0895372457,-0.201241880316,-0.215624255545,-0.212419351227,-0.216505035824,-0.243746722787
waltonchain,77,-1.08983030448,-0.233307243518,-0.215624255545,-0.183475920294,-0.206404893661,-0.251017991462
digixdao,78,-1.09106346471,-0.224432932018,-0.215624255545,-0.195780423267,-0.205768977507,-0.24945687637
wanchain,79,-1.09163155245,-0.195020774528,-0.214384361531,-0.261625074544,-0.188202091145,-0.2323992507
syscoin,80,-1.09783316163,-0.218838896223,-0.214384361531,-0.195757582508,-0.217629360895,-0.251222960479
gas,81,-1.10554976729,-0.233454396378,-0.215624255545,-0.189318147246,-0.215069917439,-0.252083050679
dentacoin,82,-1.10958456509,-0.231170186374,-0.215624255545,-0.193121450177,-0.211362516344,-0.258306156646
loom-network,83,-1.1121594059,-0.230434422074,-0.209424785474,-0.221400418811,-0.212373133008,-0.238526646531
elastos,84,-1.11288764945,-0.230140116354,-0.214384361531,-0.216254150315,-0.214991679921,-0.237117341333
ardor,85,-1.11684446135,-0.233454396378,-0.200745527376,-0.219452105254,-0.210469307022,-0.252723125317
matrix-ai-network,86,-1.12016402317,-0.233454396378,-0.20198542139,-0.209028600173,-0.218341805561,-0.257353799669
power-ledger,87,-1.12018000334,-0.233454396378,-0.204465209418,-0.220889940391,-0.217503879353,-0.2438665778
funfair,88,-1.12603558466,-0.233454396378,-0.209424785474,-0.216081325922,-0.216481232748,-0.250593844134
cryptonex,89,-1.12757074028,-0.233454396378,-0.215624255545,-0.205973677343,-0.214830377269,-0.257688033745
veritaseum,90,-1.13119506063,-0.231095496386,-0.215624255545,-0.207089576963,-0.218704686534,-0.258681045201
qash,91,-1.13269734838,-0.233454396378,-0.213144467517,-0.213865437656,-0.216868512531,-0.255364534297
enigma-project,92,-1.13711589771,-0.233307243518,-0.177187541108,-0.260077025572,-0.21791565566,-0.248628431853
waykichain,93,-1.13964575901,-0.229737116326,-0.215624255545,-0.245681092038,-0.212568783578,-0.236034511527
centrality,94,-1.14875596834,-0.233454396378,-0.215624255545,-0.223143928224,-0.217465222892,-0.259068165301
mixin,95,-1.15101576081,-0.233454396378,-0.215624255545,-0.234079490043,-0.209175567908,-0.25868205094
