,index,package,github_repo,tags,search_terms,forks,stars,so_questions_counts,downloads,dl_growth_rates
108,108,fusioncharts,fusioncharts/fusionmaps-dist,[fusioncharts],[fusioncharts],1,0,607,8196,0.16862495128
109,109,gantt-chart,dk8996/Gantt-Chart,[gantt-chart],[gantt-chart],136,255,421,229,0.0457252506241
110,110,graph-scroll,1wheel/graph-scroll,[graph-scroll.js],[graph-scroll.js],32,366,0,694,-0.0694353588705
111,111,graphael,jjacobson93/graphael,[graphael],[graphael;graphaeljs],2,16,123,2329,0.565590918618
112,112,highcharts,highcharts/highcharts,[highcharts],[highcharts;highchartsjs],2017,6533,16516,1425832,0.104917155577
113,113,insights,ignacioola/insights,[insights],[d3insights],41,182,0,1293,0.759454844298
114,114,iopctrl,metormote/iopctrl,[iopctrl],[iopctrl],11,33,0,NA,NA
115,115,jenscript,sjanaud/jenscript,[jenscript],[jenscript],0,13,0,1278,-0.00153492997232
116,116,jetpack,gka/d3-jetpack,[d3-jetpack],[d3-jetpack],33,405,0,613,0.148690070456
117,117,jqplot,jqPlot/jqPlot,[jqplot],[jqplot],71,147,1689,538,0.211073541191
118,118,jquery-mapael,neveldo/jQuery-Mapael,[mapael],[mapael],169,817,22,1842,0.0634769445439
119,119,jquery-sparkline,gwatts/jquery.sparkline,[sparklines],[jquery-sparkline;jquery-sparklines],251,1071,281,71805,0.148199036661
120,120,jsdoc2diagram,amcmillan01/jsdoc2diagram,[jsdoc2diagram],[jsdoc2diagram],5,30,0,317,-0.0397903956068
121,121,jsxgraph,jsxgraph/jsxgraph,[jsxgraph],[jsxgraph],86,335,32,164,0.0757762440503
122,122,kartograph-js,kartograph/kartograph.js,[kartograph],[kartograph;kartographjs],231,1498,32,215,0.0308533208864
123,123,keen-dataviz,keen/keen-dataviz.js,[keen-dataviz.js;keen-dataviz],[keen-dataviz],29,118,0,10495,-0.0379486606458
124,124,kodama,y310/kodama,[kodama],[kodama],9,175,0,359,0.0317603650111
